央视频道,#genre#
天津卫视,http://122.241.215.181:4022/rtp/233.50.201.104:5140$浙江电信
天津卫视,http://122.241.215.181:4022/rtp/233.50.200.104:5140$浙江电信
安徽卫视,http://122.241.215.181:4022/rtp/233.50.201.113:5140$浙江电信
安徽卫视,http://122.241.215.181:4022/rtp/233.50.200.106:5140$浙江电信
山东卫视,http://122.241.215.181:4022/rtp/233.50.201.105:5140$浙江电信
山东卫视,http://122.241.215.181:4022/rtp/233.50.200.127:5140$浙江电信
山东卫视,http://122.241.215.181:4022/rtp/233.50.202.108:5140$浙江电信
辽宁卫视,http://122.241.215.181:4022/rtp/233.50.201.141:5140$浙江电信
辽宁卫视,http://122.241.215.181:4022/rtp/233.50.200.129:5140$浙江电信
辽宁卫视,http://122.241.215.181:4022/rtp/233.50.200.173:5140$浙江电信
黑龙江卫视,http://122.241.215.181:4022/rtp/233.50.201.115:5140$浙江电信
黑龙江卫视,http://122.241.215.181:4022/rtp/233.50.200.189:5140$浙江电信
吉林卫视,http://122.241.215.181:4022/rtp/233.50.200.164:5140$浙江电信
吉林卫视,http://122.241.215.181:4022/rtp/233.50.202.42:5140$浙江电信
宁夏卫视,http://122.241.215.181:4022/rtp/233.50.202.45:5140$浙江电信
甘肃卫视,http://122.241.215.181:4022/rtp/233.50.200.163:5140$浙江电信
新疆卫视,http://122.241.215.181:4022/rtp/233.50.202.46:5140$浙江电信
西藏卫视,http://122.241.215.181:4022/rtp/233.50.202.43:5140$浙江电信
三沙卫视,http://122.241.215.181:4022/rtp/233.50.200.175:5140$浙江电信
兵团卫视,http://122.241.215.181:4022/rtp/233.50.202.44:5140$浙江电信
中国教育1台,http://122.241.215.181:4022/rtp/233.50.200.169:5140$浙江电信
中国教育1台,http://122.241.215.181:4022/rtp/233.50.201.75:5140$浙江电信
中国教育4台,http://122.241.215.181:4022/rtp/233.50.200.162:5140$浙江电信
中国教育4台,http://122.241.215.181:4022/rtp/233.50.200.174:5140$浙江电信
中国教育4台,http://122.241.215.181:4022/rtp/233.50.200.141:5140$浙江电信
中国教育4台,http://122.241.215.181:4022/rtp/233.50.201.172:5140$浙江电信

国际频道,#genre#
星空卫视,http://175.152.138.162:6066/rtp/239.93.0.156:2193$四川电信
CHANNEL[V],http://175.152.138.162:6066/rtp/239.93.0.157:2194$四川电信
凤凰中文,http://122.241.215.181:4022/rtp/233.50.202.35:5140$浙江电信
凤凰资讯,http://122.241.215.181:4022/rtp/233.50.202.36:5140$浙江电信

数字频道,#genre#
纪实科教,http://122.241.215.181:4022/rtp/233.50.202.34:5140$浙江电信
睛彩青少,http://122.241.215.181:4022/rtp/233.50.202.28:5140$浙江电信
睛彩竞技,http://122.241.215.181:4022/rtp/233.50.202.26:5140$浙江电信
睛彩篮球,http://122.241.215.181:4022/rtp/233.50.202.27:5140$浙江电信
快乐垂钓,http://122.241.215.181:4022/rtp/233.50.201.109:5140$浙江电信
快乐垂钓,http://122.241.215.181:4022/rtp/233.50.200.123:5140$浙江电信
茶频道,http://114.107.3.153:2000/rtp/238.1.79.30:4352$安徽电信
茶频道,http://122.241.215.181:4022/rtp/233.50.201.188:5140$浙江电信
茶频道,http://122.241.215.181:4022/rtp/233.50.200.124:5140$浙江电信
乐游,http://114.107.3.153:2000/rtp/238.1.78.151:7080$安徽电信
乐游,http://122.241.215.181:4022/rtp/233.50.201.185:5140$浙江电信
